id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
67ba1cea-b4f0-41a8-bc1b-d3c3db178a5d,"{'activity_balance': 97, 'body_temperature': 100, 'hrv_balance': 89, 'previous_day_activity': None, 'previous_night': 74, 'recovery_index': 94, 'resting_heart_rate': 100, 'sleep_balance': 83}",1/1/2024,89,-0.04,-0.02,2024-01-01T00:00:00+00:00
8dcb0ae9-dd50-4913-83ce-38189ec050da,"{'activity_balance': 92, 'body_temperature': 100, 'hrv_balance': 88, 'previous_day_activity': 83, 'previous_night': 65, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 84}",1/2/2024,87,-0.05,0.02,2024-01-02T00:00:00+00:00
13ccd8b3-eaaf-490e-9e91-18bf09848843,"{'activity_balance': 97, 'body_temperature': 100, 'hrv_balance': 97, 'previous_day_activity': 82, 'previous_night': 79, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 88}",1/3/2024,91,0.05,0.04,2024-01-03T00:00:00+00:00
b95e1b0d-5aa8-4c70-9586-039fa62fa521,"{'activity_balance': 92, 'body_temperature': 100, 'hrv_balance': 90, 'previous_day_activity': 80, 'previous_night': 69, 'recovery_index': 100, 'resting_heart_rate': 83, 'sleep_balance': 83}",1/4/2024,85,0.05,0,2024-01-04T00:00:00+00:00
66541c38-9c65-4933-99f5-7e241c909aa1,"{'activity_balance': 94, 'body_temperature': 94, 'hrv_balance': 99, 'previous_day_activity': None, 'previous_night': 65, 'recovery_index': 92, 'resting_heart_rate': 50, 'sleep_balance': 84}",1/5/2024,80,0.14,0.05,2024-01-05T00:00:00+00:00
42d0ec8b-839c-4194-be96-982966d587b3,"{'activity_balance': 98, 'body_temperature': 100, 'hrv_balance': 95, 'previous_day_activity': 86, 'previous_night': 68, 'recovery_index': 100, 'resting_heart_rate': 68, 'sleep_balance': 87}",1/6/2024,85,0.04,0.06,2024-01-06T00:00:00+00:00
3c9b587d-18eb-4aa7-a3b6-82d3bd131921,"{'activity_balance': 79, 'body_temperature': 100, 'hrv_balance': 91, 'previous_day_activity': 62, 'previous_night': 55, 'recovery_index': 97, 'resting_heart_rate': 69, 'sleep_balance': 78}",1/7/2024,77,0.06,0.08,2024-01-07T00:00:00+00:00
f6d05872-077f-4530-bd7a-c33ab177ede6,"{'activity_balance': 97, 'body_temperature': 100, 'hrv_balance': 94, 'previous_day_activity': 80, 'previous_night': 68, 'recovery_index': 100, 'resting_heart_rate': 78, 'sleep_balance': 85}",1/8/2024,85,0.03,0.08,2024-01-08T00:00:00+00:00
192c09ed-d7ef-4aa2-94dd-6f07a11c93e9,"{'activity_balance': 87, 'body_temperature': 99, 'hrv_balance': 89, 'previous_day_activity': 84, 'previous_night': 73, 'recovery_index': 100, 'resting_heart_rate': 70, 'sleep_balance': 82}",1/9/2024,83,0.08,0.07,2024-01-09T00:00:00+00:00
6953555b-387c-4e54-83ee-7d4ea478883d,"{'activity_balance': 91, 'body_temperature': 100, 'hrv_balance': 87, 'previous_day_activity': 83, 'previous_night': 69, 'recovery_index': 100, 'resting_heart_rate': 79, 'sleep_balance': 81}",1/10/2024,84,0.04,0.05,2024-01-10T00:00:00+00:00
6f798ef1-ed83-4ce9-85e7-ea9f55f80384,"{'activity_balance': 92, 'body_temperature': 95, 'hrv_balance': 78, 'previous_day_activity': 79, 'previous_night': 75, 'recovery_index': 100, 'resting_heart_rate': 96, 'sleep_balance': 81}",1/11/2024,85,0.13,0.09,2024-01-11T00:00:00+00:00
f37e28ef-c8b6-490c-92bd-8c7f958558ea,"{'activity_balance': 79, 'body_temperature': 99, 'hrv_balance': 77, 'previous_day_activity': 62, 'previous_night': 70, 'recovery_index': 100, 'resting_heart_rate': 88, 'sleep_balance': 80}",1/12/2024,80,-0.18,-0.01,2024-01-12T00:00:00+00:00
